ID,ファイル名,種類,カード名,攻撃力,防御力,ＣＨ,召還Lv,効果テキスト,画像モチーフ案,状態
53,53.png,モンスター,スペルリーダー,500,400,4,1,魔法・召喚レベル－２,浮遊する呪文書を読み上げる魔導師,未
54,54.png,モンスター,ミラージョア,500,500,5,1,鏡身能力,鏡像・蜃気楼として揺らめく分身の怪物,未
55,55.png,モンスター,アッシュメイカー,450,600,4,1,光臨能力,降臨の光の中で灰を撒く使者,未
56,56.png,モンスター,シェルジェイド,450,550,3,1,,翡翠色の大貝に半身を収めた守り手,未
57,57.png,モンスター,ネクロスフィア,500,500,5,1,攻撃反射能力,攻撃を跳ね返す障壁を纏った死霊の球体,未
58,58.png,モンスター,リヴァイバー,500,500,4,1,Ａ・Ｄ＋敵手札×５０,敵が多いほど輝きを増す蘇生の霊,未
59,59.png,モンスター,シーホースナイト,550,500,5,1,魂の門,海中で槍を構えるタツノオトシゴの騎士,未
60,60.png,モンスター,ブルースフィア,500,550,5,1,自己認識能力,すべてを識る青い水晶球の意識体,未
61,61.png,モンスター,ストライフ,550,550,5,1,貫通能力,両刃の大剣で全てを貫く争いの化身,未
62,62.png,モンスター,ラクシュミー,500,500,5,1,付加カード効果２倍化,付加された力を倍にする恩寵の女神,未
63,63.png,モンスター,インフェルノ,550,500,5,1,攻撃増幅反射能力,受けた攻撃を業火にして倍返しする炎の巨人,未
64,64.png,モンスター,マスターズソウル,自己憑依で変動,自己憑依で変動,自己憑依で変動,1,自己憑依（装備）で決まった攻撃力・防御力・ＣＨ数をそのまま持つ特殊ユニット。ＣＨは0〜6に丸められる,光る人型の霊体と開かれた書。プレイヤー自身の魂,未
65,65.png,モンスター,ヘルファイア,550,400,3,1,憑依：狂戦士化,憎悪で燃え上がる地獄の火の霊,未
66,66.png,モンスター,ヘッドレス,500,400,4,1,憑依：傀儡化,首のない黒騎士デュラハン。小脇に兜,未
67,67.png,モンスター,ボーンナイト,550,450,4,1,憑依：防御力－１５０,朽ちた鎧の骸骨騎士,未
68,68.png,モンスター,マッドシックル,550,0,4,1,憑依：ターン終了時自滅,狂気の大鎌を振るう死霊,未
69,69.png,モンスター,デストレーダー,500,350,5,1,憑依：ターン終了時自滅,死を商う亡霊の行商人。怪しげな天秤,未
70,70.png,モンスター,ポルターガイスト,250,200,2,1,特：妄執・憑依：D-150,家具を宙に浮かせて暴れる悪霊,未
71,71.png,モンスター,ペスティレンス,500,400,3,1,憑依：疫障・永続憑依,疫病の瘴気を撒き散らす亡霊,未
72,72.png,モンスター,デスワーム,600,500,3,1,憑依：ＣＨ閉鎖・固定,地中から現れる死の大蠕虫,未
73,73.png,モンスター,アースバウンド,450,450,2,1,憑依：防御力－３００,大地に鎖で縛られた地縛霊,未
101,101.png,魔法,憑依解除,,,,,ＣＨ１つを破壊させる,浄化の光が取り憑いた悪霊を引き剥がす,未
102,102.png,魔法,侵食,,,,,自デッキから直に他ユニットのＣＨを埋め尽くさせる,カードの束から溢れた瘴気が敵を覆い尽くす,未
103,103.png,魔法,渇望,,,,,敵デッキから直に自分のＣＨを埋め尽くす,敵の山札へ伸びる渇いた無数の手,未
104,104.png,魔法,爆殺,,,,,ＣＨに空きが無い時命と引き換えに攻撃力＋２５０,命を代償にした爆発の魔法陣,未
105,105.png,魔法,歪曲,,,,,ＣＨ位置を上下反転させる,空間がねじれ、積まれた札の上下が反転する,未
106,106.png,魔法,増幅,,,,,付加カード効果をそれぞれ２枚分にする,魔力が共鳴して倍加する双子の水晶,未
107,107.png,魔法,逃走,,,,,ＣＨ数が４以下の場合ユニットを手札に戻す／戦闘中×,煙とともに消え去るユニットの残像,未
108,108.png,魔法,強制開放,,,,,ＣＨ全てを強制オープンさせる／戦闘中×強制中×,すべての封が一斉に開く鍵と光,未
109,109.png,魔法,強制転回,,,,,ＣＨ全てを強制リバースさせる／戦闘中×強制中×,宙で一斉に裏返るカードの渦,未
110,110.png,魔法,閉門,,,,,ＣＨ全てを同時にクローズさせる,巨大な石の門が音を立てて閉ざされる,未
111,111.png,魔法,変換,,,,,手札を全て捨て新たに３枚引く,手札が光の粒子となって組み変わる,未
112,112.png,魔法,抽出,,,,,手札を３枚得るがドロー毎にＬＰ１点を失う,生命力を吸い上げて知識に変える蒸留器,未
113,113.png,魔法,透視,,,,,ＣＨ２つの内容を確認できる,伏せられた札を見通す青い魔眼,未
114,114.png,魔法,暗殺,,,,,敵マスター手札内のユニットを破壊＋ＬＰダメージ１点,手札の陰に忍び寄る短剣,未
115,115.png,魔法,流行り病,,,,,マスターの手札にある「疫障」を表状態で付加させる,病を運ぶ緑がかった瘴気の風,未
116,116.png,魔法,解析,,,,,ユニット１体のＣＨ内容を全て確認できる（レベル４,魔法陣に浮かび上がる解読の紋様,未
117,117.png,魔法,障壁,,,,,防御力を＋３００する,青く輝く半球状の防御結界,未
118,118.png,魔法,押収,,,,,裏状態のＣＨ１つをこのカードの位置に奪い取る,伏せ札を掴み取る魔力の鎖,未
119,119.png,魔法,鎮静,,,,,場にある全てのＣＨをクローズする／戦闘中×,静寂が場を包み、すべての札が伏せられていく,未
120,120.png,魔法,抑制,,,,,戦闘攻撃時、相手の魔法発動を全て無効化する,魔力を封じる光の枷,未
121,121.png,魔法,招来,,,,,潜行しているユニット１つを自分の場に召還させる,潜んだ者を強制的に呼び出す召喚陣,未
122,122.png,魔法,予見,,,,,マスターの山札から５枚引き任意の順番で戻す,未来を映す水晶と宙に並ぶ五枚の札,未
123,123.png,魔法,発症,,,,,マスターは配置されたレベルと同数のＬＰを失う,高い塔の上から放たれる病の波動,未
124,124.png,魔法,凍結,,,,,場にあるユニット１体を硬直させる／戦闘中×,ユニットを一瞬で氷漬けにする冷気,未
125,125.png,魔法,移送,,,,,最も高いレベルにあるＣＨを他ユニットへ移動させる,光の橋を渡って隣へ移動するカード,未
126,126.png,魔法,統合,,,,,ＣＨ付加の無いユニット１体をＣＨとして吸収する,ユニットが光の粒となって別の者に吸収される,未
127,127.png,魔法,死の棘,,,,,マスターの手札にある「腐食」を表状態で付加させる,腐食を運ぶ黒い茨の棘,未
128,128.png,魔法,転写,,,,,手札にある技能カードをこのカードの位置に転送する,技能の紋様が光の写しとなって転送される,未
129,129.png,魔法,窃盗,,,,,敵マスターの手札１枚を奪い取る,敵の手札から一枚を掠め取る手,未
130,130.png,魔法,漂着,,,,,マスターの山札から１枚を直に表状態で付加させる,夜の浜辺に波が運んできた一枚の札,未
131,131.png,魔法,菊一文字,,,,,全ユニットの同レベルのＣＨを全て破壊する／戦闘中×,横一閃の剣光が同じ高さのものを薙ぎ払う。日本刀,未
132,132.png,魔法,殲滅,,,,,全てのユニットを場から取り除く（レベル５／戦闘中×,盤上のすべてを消し去る白い閃光,未
133,133.png,魔法,呪爆,,,,,このカードをオープンさせたユニットを破壊する,開けた者を巻き込む呪いの爆発,未
134,134.png,魔法,呪念,,,,,オープンさせたマスターのＬＰ５点破壊（レベル３,マスターを直接蝕む怨念の巨眼,未
135,135.png,魔法,雷撃,,,,,防御力５５０以下のユニット１つを無条件に破壊する,天から一直線に落ちる裁きの雷,未
136,136.png,魔法,遮蔽,,,,,チャンネルに空きがなくなる,チャンネルを塞ぐ濃い霧の壁,未
137,137.png,魔法,潜行爆弾,,,,,敵デッキに攻撃力６００の爆弾を仕込む,山札の中に潜む導火線付きの爆弾,未
138,138.png,魔法,潜入,,,,,他ユニットにチャンネルとして潜行する（レベル３,影となって敵の懐へ忍び込む,未
139,139.png,魔法,爆雷,,,,,敵マスターのＬＰを３点減らす／戦闘中×,敵本陣で連鎖して炸裂する爆発,未
140,140.png,魔法,時の渦,,,,,ドローステップへ戻る（レベル４／戦闘中×強制中×,時間を巻き戻す青い渦,未
141,141.png,魔法,思念波,,,,,攻撃力１０００の特殊攻撃を放つ（レベル６／戦闘中×,精神から放たれる同心円状の衝撃波,未
142,142.png,魔法,身転換,,,,,戦闘防御時、ユニットが相手と入れ換わる（レベル３,二体の姿が魔法の光の中で入れ替わる,未
143,143.png,魔法,偽装,,,,,空いているチャンネル×１００を攻撃力に加算する,空虚を強大な力に見せかける幻影,未
144,144.png,魔法,還元,,,,,全ＣＨを破壊しその分だけ手札を得る／強制中×,カードが砕けて手札の光に還っていく,未
145,145.png,魔法,鏡身,,,,,戦闘中、相手の技能効果を自分にも発現させる,相手の姿と力を映し返す姿見,未
146,146.png,魔法,口寄せ,,,,,何度でもドローし１枚を入手できる（レベル３,望む札を呼び寄せる降霊術の儀式,未
147,147.png,魔法,治癒,,,,,手札を全て捨てその枚数と同値のＬＰを回復する,手札を捧げた分だけ傷を癒す暖かい光,未
148,148.png,魔法,妄執,,,,,自爆し任意のユニットに憑依する,執念の霊が自爆し、光となって取り憑く,未
151,151.png,技能,停滞,,,,,オープンした魔法カードを場に留める,時の止まった砂時計。砂が宙で静止,未
152,152.png,技能,狂戦士化,,,,,全てのＣＨボーナスポイントを攻撃力に加算する,血走った眼で咆哮する狂戦士,未
153,153.png,技能,魔力の盾,,,,,攻撃力－１００・防御力＋２００する,魔力で編まれた大盾を構える,未
154,154.png,技能,連続攻撃,,,,,１ターンに２度攻撃できる,二連撃の剣の残像,未
155,155.png,技能,疫障,,,,,攻撃力－２５０・防御力－２５０する,病に蝕まれて膝をつく戦士,未
156,156.png,技能,封印,,,,,自分がチャンネル付加している能力を全て無効化する,幾重もの鎖と封印の札,未
157,157.png,技能,五つ星,,,,,ＣＨ数を５にする,五芒星の紋章が輝く,未
158,158.png,技能,膨張,,,,,ＣＨ数を２つ増やす,内側から膨れ上がる魔力の器,未
159,159.png,技能,固定,,,,,チャンネルのリバースができなくなる,楔で打ち付けられ動かなくなった札,未
160,160.png,技能,放出,,,,,オープンした技能カードは魔法カードと同時に消失する,溜めた力を一気に解き放つ奔流,未
161,161.png,技能,魔道剣士,,,,,表状態の魔法によるボーナスポイントを１．５倍にする,剣に魔法の焔を纏わせる剣士,未
162,162.png,技能,融合,,,,,潜行ユニットが表状態でも分離しない,二つの存在が解けないほど深く絡み合う,未
163,163.png,技能,跳躍,,,,,敵の場のユニットが２体以下ならデッキ攻撃できる,敵陣の頭上を飛び越える大跳躍,未
164,164.png,技能,突然変異,,,,,攻撃力と防御力の元値を入れ換える,左右で姿が変わりつつある変異生物,未
165,165.png,技能,孤高の戦士,,,,,自分の場に他のユニットがいない時攻撃力＋１００する,荒野にただ独り立つ剣士の背中,未
166,166.png,技能,自己認識,,,,,自分自身のチャンネルを全て確認できる,座して己の内面を見つめる瞑想者,未
167,167.png,技能,腐食,,,,,マスターのターン終了時自滅する・クローズできない,見る間に錆びて朽ちていく鎧,未
168,168.png,技能,石化,,,,,防御力を＋２００するが常に硬直状態となる,石と化して固まった戦士の像,未
169,169.png,技能,傀儡,,,,,敵の場に移動しコントロールを奪われる,操り糸に吊られて敵へ歩き出す人形,未
170,170.png,技能,収束,,,,,自分の場の他ユニット１体につき攻撃力を＋１００する,仲間たちの力が一人の剣先に集束する光,未
171,171.png,技能,迎撃,,,,,通常攻撃の防御後、自分の攻撃力で反撃する,受け流した直後に反撃へ転じる構え,未
172,172.png,技能,反射,,,,,通常攻撃の防御に成功した時受けた攻撃力を跳ね返す,受けた斬撃をそのまま跳ね返す鏡の盾,未
173,173.png,技能,貫通,,,,,自分の攻撃中にはいかなるダメージも受けない,盾も鎧も貫く渾身の一突き,未
174,174.png,技能,連唱,,,,,魔法カードを２回発動させる,二重に響き重なる詠唱の口元と紋様,未
175,175.png,技能,隠遁,,,,,味方ユニットを盾に攻撃を受けるのを防ぐ,味方の影にすっと隠れる忍び,未
176,176.png,技能,気化,,,,,攻撃力・防御力をゼロにするが攻撃の対象にならない,体が霧となって攻撃をすり抜ける,未
177,177.png,技能,不死,,,,,防御に失敗してもＬＰダメージを受けるが破壊されない,倒れても再び立ち上がる不死の亡者,未
178,178.png,技能,抵抗,,,,,付加しているユニットカードが表状態の時破壊する,取り憑こうとする影を振り払う強い意志,未
179,179.png,技能,救済,,,,,通常攻撃以外による死を無効化する,死の淵から引き上げる光の手,未
181,181.png,技能,魂の門,,,,,ターン終了時デッキから直に１枚のＣＨ付加を得る,魂が絶えず流れ込んでくる古い門,未
182,182.png,技能,蜜月,,,,,チャンネルが飽和状態の時、攻撃力＋１００する,満たされた蜜の杯。豊かさの象徴,未
183,183.png,技能,甲殻,,,,,攻撃を受けると他のＣＨが閉じるが守備中行動できない,硬い甲殻に閉じこもり攻撃をやり過ごす,未
184,184.png,技能,閉鎖,,,,,チャンネルに空きがなくなりチャネリングできなくなる,太い閂と鎖で完全に閉ざされた扉,未
185,185.png,技能,磁力,,,,,味方ユニットを攻撃選択できなくさせる,すべてを引き寄せる磁場の紋様,未
186,186.png,技能,魔道書,,,,,魔法・召喚レベルを２つ下げて発動できる,宙に開かれ光る文字が浮かぶ古の魔道書,未
187,187.png,技能,修練の拳,,,,,通常攻撃中、相手の攻撃力ボーナスを吸収する,相手の闘気を吸い取りながら放つ拳,未
188,188.png,技能,巨大化,,,,,ＬＰダメージと引き換えに攻撃力・防御力＋１００,月夜にみるみる巨大化していく影,未
189,189.png,技能,気孔術,,,,,特殊攻撃で与えるダメージを＋１００する,掌から気の弾を撃ち出す武僧,未
190,190.png,技能,無効,,,,,魔法効果を発動しない,飛来する魔法を打ち消す無地の紋章,未
191,191.png,技能,磁場変動,,,,,攻撃力と防御力のＣＨボーナス値を入れ換える,攻めと守りが入れ替わる磁場の渦,未
192,192.png,技能,勇猛,,,,,自分よりＣＨ数の多い敵に攻撃時、攻撃力＋１００する,はるかに大きい敵へ果敢に斬りかかる小さな戦士,未
193,193.png,技能,赤の聖霊陣,,,,,自分の場の全ユニットの攻撃力を＋５０する,赤く輝く魔法陣が地面に展開する,未
194,194.png,技能,青の聖霊陣,,,,,自分の場の全ユニットの防御力を＋５０する,青く輝く魔法陣が地面に展開する,未
195,195.png,技能,白の聖霊陣,,,,,自分の場の全ユニットのＣＨ数を＋１する,白く輝く魔法陣が地面に展開する,未
196,196.png,技能,黒の邪霊陣,,,,,自分の場の全ユニットの攻撃力・防御力を－１５０する,黒く渦巻く邪悪な霊陣,未
197,197.png,技能,縛鎖,,,,,攻撃中相手のＣＨ１つをオープンできなくする,攻撃中の敵に絡みつき動きを封じる鎖,未
198,198.png,技能,追跡,,,,,敵の能力による攻撃選択の制限を受けなくなる,標的を決して見失わない猟犬の眼,未
199,199.png,技能,光臨,,,,,あらゆるユニットを手札から出せる,天から降り注ぎ、あらゆる者を呼び出す光の柱,未
